Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
EPITA Rennes;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Formation d'ingénieur Bac + 5 - Bac Série générale;70;1644;1367;42;86.0
Université d'Orléans - Centre Univ. de Châteauroux;Indre;Centre;Orléans-Tours;Châteauroux;Licence - Langues étrangères appliquées - Parcours Anglais/Espagnol;40;244;222;38;100.0
Université d'Orléans - Centre Univ. de Châteauroux;Indre;Centre;Orléans-Tours;Châteauroux;Licence - Histoire;45;244;222;33;100.0
EPITA Toulouse;Haute-Garonne;Occitanie;Toulouse;Toulouse;Formation d'ingénieur Bac + 5 - Bac Série générale;90;1890;1572;61;85.0
I.U.T de l'Indre;Indre;Centre;Orléans-Tours;Châteauroux;BUT - Gestion des entreprises et des administrations;70;874;342;64;53.0
Lycée Descartes;Indre-et-Loire;Centre;Orléans-Tours;Tours;CPGE - Lettres;48;600;267;48;59.0
Lycée Choiseul;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Services - Commerce International;36;1216;195;36;21.0
Lycée Grandmont;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Production - Conception et réalisation en chaudronnerie industrielle;24;169;72;22;61.0
Lycée Paul-Louis Courier;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Services - Services informatiques aux organisations;34;448;129;33;31.0
Lycée Paul-Louis Courier;Indre-et-Loire;Centre;Orléans-Tours;Tours;Diplôme de Comptabilité et de Gestion;42;743;249;41;51.0
Lycée Saint Gatien;Indre-et-Loire;Centre;Orléans-Tours;Joué-lès-Tours;BTS - Production - Travaux publics;16;69;49;10;88.0
SUP ENR - partenaire INSA;Pyrénées-orientales;Occitanie;Montpellier;Perpignan;Formation d'ingénieur Bac + 5 - Bac Général;23;5716;2263;22;46.0
I.U.T de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;BUT - Génie biologique Parcours diététique et nutrition;23;719;135;20;27.0
I.U.T de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;BUT - Carrières sociales Parcours animation sociale et socioculturelle;52;704;127;54;21.0
I.U.T de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;BUT - Information communication Parcours information numérique dans les organisations;28;582;56;28;8.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Musicologie - Parcours Musique et Musicologie;160;560;555;101;100.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Philosophie;90;593;588;67;99.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Droit;500;3379;2192;498;64.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Anglais;250;1467;1359;259;100.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Lettres;150;759;755;90;100.0
Lycée Jacques De Vaucanson;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Production - Photonique : technologies et sciences de la lumière;24;90;61;20;98.0
Lycée Esthétique de Touraine;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;40;222;156;26;94.0
Lycée L'Oiselet;Isère;Auvergne-Rhône-Alpes;Grenoble;Bourgoin-Jallieu;BTS - Production - Maintenance des systèmes - option A Systèmes de production;24;209;113;18;68.0
Lycée Les Eaux Claires;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;CPGE - ECT - Option technologique;24;331;186;21;83.0
Lycée Louise Michel;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Support à l'action managériale;32;436;158;29;45.0
Lycée Louise Michel;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Services informatiques aux organisations;32;566;149;34;39.0
Lycée des Métiers - Lesdiguieres;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Tourisme;54;1029;254;48;38.0
Lycée Ella Fitzgerald St Romain en Gal;Isère;Auvergne-Rhône-Alpes;Grenoble;Vienne;BTS - Services - Communication;34;728;186;28;47.0
Lycée Galilee;Isère;Auvergne-Rhône-Alpes;Grenoble;Vienne;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;30;229;139;13;82.0
Lycée Edouard Herriot;Isère;Auvergne-Rhône-Alpes;Grenoble;Voiron;BTS - Services - Comptabilité et gestion;24;262;130;19;61.0
