Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
Université Bordeaux Montaigne;Gironde;Nouvelle Aquitaine;Bordeaux;Pessac;Licence - Information et communication - Parcours Licence 1 Sciences de l'information et de la communication;118;1556;438;117;34.0
INSEEC Paris;Hauts-de-Seine;Ile-de-France;Versailles;Courbevoie;Formation des écoles de commerce et de management Bac + 4;10;229;92;2;71.0
INSEEC Paris;Hauts-de-Seine;Ile-de-France;Versailles;Courbevoie;Formation des écoles de commerce et de management Bac + 4;30;608;307;29;68.0
Institut Supérieur d'Agriculture Rhône-Alpes;Vaucluse;Provence-Alpes-Côte d'Azur;Aix-Marseille;Avignon;Formation Bac + 3 - Bachelor en Sciences et Ingénierie en Agronomie et Agroalimentaire;30;63;43;4;73.0
Lycée Odilon Redon;Gironde;Nouvelle Aquitaine;Bordeaux;Pauillac;BTS - Services - Négociation et digitalisation de la Relation Client;24;237;132;23;67.0
Lycée Hotel.Tourisme Gascogne;Gironde;Nouvelle Aquitaine;Bordeaux;Talence;BTS - Services - Management en hôtellerie restauration;105;563;335;79;90.0
Université de Caen Normandie;Calvados;Normandie;Normandie;Caen;Licence - Lettres - Parcours Enseigner et éduquer;30;176;144;23;100.0
Haute Ecole du Travail et de l'Intervention Sociale - HETIS Draguignan;Var;Provence-Alpes-Côte d'Azur;Nice;Draguignan;D.E Assistant de Service Social;10;25;13;7;64.0
Haute Ecole du Travail et de l'Intervention Sociale - HETIS Draguignan;Var;Provence-Alpes-Côte d'Azur;Nice;Draguignan;D.E Educateur de Jeunes Enfants;10;39;20;10;49.0
Lycée Jean Monnet - Mermoz;Cantal;Auvergne-Rhône-Alpes;Clermont-Ferrand;Aurillac;Certificat de Spécialisation - Cybersécurité;15;56;28;6;91.0
Maison familiale rurale de RUMENGOL;Finistère;Bretagne;Rennes;Le Faou;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;18;15;15;3;100.0
IFSI Croix Rouge Française Lunéville;Meurthe-et-Moselle;Grand-Est;Nancy-Metz;Lunéville;D.E Infirmier;30;2129;484;30;48.0
ASKORIA VANNES - SAINT-AVE;Morbihan;Bretagne;Rennes;Saint-Avé;BPJEPS - Spécialité animateur - Mention Animation sociale;6;85;12;0;15.0
MAISON FAMILIALE RURALE de VAYRES;Gironde;Nouvelle Aquitaine;Bordeaux;Vayres;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;38;56;55;16;98.0
MAISON FAMILIALE RURALE de VAYRES;Gironde;Nouvelle Aquitaine;Bordeaux;Vayres;BTS - Agricole - Viticulture-Oenologie;30;67;58;7;94.0
CESI Campus de Dijon;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Quetigny;Formation Bac + 3 - Bachelor en Sciences et en Ingénierie en intelligence artificielle dans le domaine de la santé;15;32;16;0;57.0
CESI Campus de Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;Villeurbanne;Formation Bac + 3 - Bachelor en Sciences et en Ingénierie - Maintenance;15;87;29;3;41.0
Lycée professionnel des Métiers Jean-Baptiste Clément;Ardennes;Grand-Est;Reims;Sedan;Certificat de Spécialisation - Production et réparation de produits électroniques;6;15;13;6;88.0
Université de Guyane;Guyane;Guyane;Guyane;Cayenne;Licence - Langues étrangères appliquées - Parcours Anglais / Espagnol;40;202;130;38;99.0
Lycée Jean Condorcet;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BTS - Services - Support à l'action managériale;34;586;220;27;55.0
Lycée Jean Condorcet;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BTS - Services - Commerce International;34;1812;289;30;22.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;DEUST - Animation et gestion des activités physiques, sportives ou culturelles - Parcours Natation, activités aquatiques, surveillance;15;65;37;9;100.0
Université de Mulhouse;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;Licence - Sciences sociales - Parcours Défis globaux du XXIème siècle;20;124;90;18;99.0
Université de Guyane;Guyane;Guyane;Guyane;Cayenne;Licence - Langues, enseignement, médiation en milieu amazonien;70;147;146;28;100.0
CPBx (ENSTBB);Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;Formation d'ingénieur Bac + 5 - bac général;8;305;21;8;9.0
Lycée professionnel Jeannette Verdier;Loiret;Centre;Orléans-Tours;Montargis;BTS - Services - Gestion des transports et logistique associée;22;131;52;13;61.0
ESRA - Rennes;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Formation des écoles supérieure d'art Bac + 3 - Etudes Supérieures des Techniques du Son;60;111;76;22;67.0
Lycée professionnel Jean Mace;Val-de-Marne;Ile-de-France;Créteil;Choisy-le-Roi;FCIL - E-Commerce;12;114;52;10;94.0
I.U.T. de Bordeaux - Site de Bordeaux-Bastide;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BUT - Gestion des entreprises et des administrations;114;4941;225;114;6.0
I.U.T. de Bordeaux - Site de Bordeaux-Bastide;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BUT - Management de la Logistique et des Transports;112;1045;417;109;53.0
CPBx (ENSC);Gironde;Nouvelle Aquitaine;Bordeaux;Talence;Formation d'ingénieur Bac + 5 - bac général;10;180;32;10;19.0
ENSCMu - partenaire INSA;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;Formation d'ingénieur Bac + 5 - Bac Général;16;5485;1125;16;24.0
Lycée Joffre;Hérault;Occitanie;Montpellier;Montpellier;CPGE - PCSI;132;3540;691;130;22.0
Université du littoral - Site de Calais -;Pas-de-Calais;Hauts-de-France;Lille;Calais;DEUST - Webmaster et métiers de l'internet;15;81;35;15;52.0
Lycée Joffre;Hérault;Occitanie;Montpellier;Montpellier;CPGE - BCPST;47;2044;355;47;30.0
Lycée Joffre;Hérault;Occitanie;Montpellier;Montpellier;CPGE - Lettres;96;1312;621;96;67.0
Lycée Jules Guesde;Hérault;Occitanie;Montpellier;Montpellier;CPGE - ECT - Option technologique;45;802;170;45;48.0
Lycée professionnel Paul Heraud;Hautes-Alpes;Provence-Alpes-Côte d'Azur;Aix-Marseille;Gap;BTS - Production - Bâtiment;15;126;45;15;47.0
Lycée Jules Guesde;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Support à l'action managériale;36;628;182;34;36.0
Lycée professionnel Poinso-Chapuis;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  8e  Arrondissement;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;12;758;42;11;7.0
Ecole supérieure du bois - Campus de Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 7e  Arrondissement;Formation Bac + 3 - Bachelor en Sciences et Ingénierie du bois et des matériaux biosourcés - Parcours Conduite de chantier;24;51;31;4;62.0
Ecole supérieure du bois - Campus de Bordeaux - Gradignan;Gironde;Nouvelle Aquitaine;Bordeaux;Gradignan;Formation Bac + 3 - Bachelor en Sciences et Ingénierie du bois et des matériaux biosourcés - Parcours Génie industriel;24;38;30;0;79.0
Ecole supérieure du bois - Campus de Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 7e  Arrondissement;Formation Bac + 3 - Bachelor en Sciences et Ingénierie du bois et des matériaux biosourcés - Parcours Génie industriel;24;40;28;8;77.0
Ecole supérieure du bois;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Formation Bac + 3 - Bachelor en Sciences et Ingénierie du bois et des matériaux biosourcés - Parcours Technico-commercial;24;37;20;4;57.0
Ecole supérieure du bois - Campus de Bordeaux - Gradignan;Gironde;Nouvelle Aquitaine;Bordeaux;Gradignan;Formation Bac + 3 - Bachelor en Sciences et Ingénierie du bois et des matériaux biosourcés - Parcours Technico-commercial;24;20;13;0;65.0
Ecole supérieure du bois - Campus de Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 7e  Arrondissement;Formation Bac + 3 - Bachelor en Sciences et Ingénierie du bois et des matériaux biosourcés - Parcours Technico-commercial;24;19;11;1;58.0
Ecole supérieure du bois - Campus de Versailles;Yvelines;Ile-de-France;Versailles;Versailles;Formation Bac + 3 - Bachelor en Sciences et Ingénierie du bois et des matériaux biosourcés - Parcours Technico-commercial;24;18;9;1;50.0
Lycée Jules Guesde;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Comptabilité et gestion;36;951;169;37;25.0
Lycée Jean Mermoz;Hérault;Occitanie;Montpellier;Montpellier;BTS - Production - Conception de produits industriels;30;348;144;26;66.0
STUDIO M;Rhône;Auvergne-Rhône-Alpes;Lyon;Villeurbanne;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;15;109;85;9;89.0
Lycée Jean Mermoz;Hérault;Occitanie;Montpellier;Montpellier;BTS - Production - Bioanalyses et contrôles;30;705;171;26;38.0
Lycée Jean Mermoz;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Services informatiques aux organisations;32;716;137;32;24.0
Lycée Marseilleveyre;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  8e  Arrondissement;Classe préparatoire aux études supérieures - Cinéma audiovisuel - parcours scientifique;15;260;41;15;20.0
Lycée agricole Frédéric BAZILLE - Agropolis (Classes Agri);Hérault;Occitanie;Montpellier;Montpellier;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;19;157;68;14;69.0
I.U.T de Montpellier-Sète - site de Montpellier - campus Occitanie;Hérault;Occitanie;Montpellier;Montpellier;BUT - Chimie;104;2003;1017;97;70.0
Institut Lyfe;Rhône;Auvergne-Rhône-Alpes;Lyon;Ecully;Formation des écoles supérieures de cuisine Bac +3 - Bachelor en Management International des Arts Culinaires;60;162;119;31;75.0
ECAM-EPMI site de Cachan;Val-de-Marne;Ile-de-France;Créteil;Cachan;Formation d'ingénieur Bac + 5 - Série générale;30;703;558;19;88.0
Lycée St Francois De Sales;Orne;Normandie;Normandie;Alençon;BTS - Services - Services informatiques aux organisations;24;43;37;5;100.0
I.U.T de Montpellier-Sète - site de Montpellier - campus Occitanie;Hérault;Occitanie;Montpellier;Montpellier;BUT - Informatique;120;1980;500;104;32.0
I.U.T de Montpellier-Sète - site de Montpellier - campus Occitanie;Hérault;Occitanie;Montpellier;Montpellier;BUT - Techniques de commercialisation;106;6778;744;112;14.0
CFA du CREPS Hauts-de-France - Site de SAINT-MARTIN-BOULOGNE;Pas-de-Calais;Hauts-de-France;Lille;Saint-Martin-Boulogne;BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;3;219;6;2;3.0
Lycée Nevers;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Support à l'action managériale;22;148;48;22;49.0
Lycée Nevers;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Management Commercial Opérationnel;18;283;51;16;18.0
L'ECOLE BY CCI HAUTE-SAVOIE - ANNECY;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;DN MADE - Graphisme - CONCEVOIR ET PRODUIRE L’INTERACTIVITÉ DE DEMAIN;20;113;46;17;48.0
ESEO Dijon;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Dijon;Formation d'ingénieur Bac + 5 - Bacs technologiques;3;58;51;0;88.0
Université de Montpellier;Hérault;Occitanie;Montpellier;Montpellier;CUPGE - Cycle Universitaire Préparatoire aux Grandes Ecoles - Physique et Mathématiques;15;762;203;17;34.0
EFCAM Centre;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Riom;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;24;102;94;7;98.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Sociologie;275;1907;1324;268;99.0
Lycée professionnel Joliot-Curie;Pas-de-Calais;Hauts-de-France;Lille;Oignies;Certificat de Spécialisation - Techn. en énergies renouvelables opt. a énergie électrique;7;11;7;2;75.0
Lycée Saint Joseph;Nord;Hauts-de-France;Lille;Hazebrouck;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;36;117;56;24;78.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Information et communication;295;2378;1245;294;58.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Sciences du langage - Parcours Langage, Média, Communication;160;1091;879;174;99.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Certificat de Spécialisation - Techn. en énergies renouvelables opt. a énergie électrique;10;28;21;7;95.0
Lycée Ste Marie Du Port;Vendée;Pays-de-la-Loire;Nantes;Les Sables-d'Olonne;Certificat de Spécialisation - Cybersécurité;15;1;1;1;
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Chinois;45;155;145;21;100.0
Institut de formation manipulateur en électroradiologie médicale;Haut-Rhin;Grand-Est;Strasbourg;Colmar;D.E manipulateur/trice en électroradiologie médicale;24;514;102;26;28.0
Lycée professionnel Georges Cisson;Var;Provence-Alpes-Côte d'Azur;Nice;Toulon;Certificat de Spécialisation - Technicien(ne) en réseaux électriques;12;49;17;7;61.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Langues étrangères appliquées - Parcours Anglais-Chinois;125;592;550;139;100.0
Lycée professionnel Charles Cros;Aude;Occitanie;Montpellier;Carcassonne;Certificat de Spécialisation - Organisateur de réception;15;35;33;10;100.0
Ecole supérieure libre des sciences commerciales appliquées;Paris;Ile-de-France;Paris;Paris 19e  Arrondissement;Formation des écoles de commerce et de management Bac + 3 - Bachelor finance;50;109;81;21;75.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Arts plastiques;218;1616;946;256;65.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Humanités - Parcours Etude et pratique du français (préparation à l'entrée aux écoles d'orthophonie);45;591;259;43;53.0
Lycée Alain René Lesage;Morbihan;Bretagne;Rennes;Vannes;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;14;370;105;13;58.0
Lycée St Joseph Pierre Rouge;Hérault;Occitanie;Montpellier;Montferrier-sur-Lez;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;21;166;73;16;57.0
Lycée Jean Monnet;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Négociation et digitalisation de la Relation Client;36;1834;261;28;16.0
Ecole de Commerce et de Management ECM;Territoire de Belfort;Bourgogne-Franche-Comté;Besancon;Belfort;Licence - Gestion - Parcours Gestion des organisations;12;31;30;5;100.0
Ecole de Commerce et de Management ECM;Territoire de Belfort;Bourgogne-Franche-Comté;Besancon;Belfort;Licence - Gestion - Parcours Commerce Vente et Marketing;18;127;86;11;99.0
Lycée professionnel Pierre Desgranges;Loire;Auvergne-Rhône-Alpes;Lyon;Andrézieux-Bouthéon;Certificat de Spécialisation - Production et réparation de produits électroniques;15;24;13;5;100.0
Lycée Jean-Francois Champollion;Hérault;Occitanie;Montpellier;Lattes;BTS - Production - Photonique : technologies et sciences de la lumière;12;109;53;14;60.0
Lycée Georges Pompidou;Hérault;Occitanie;Montpellier;Castelnau-le-Lez;BTS - Services - Comptabilité et gestion;34;600;119;35;30.0
Lycée des Métiers - Hotelier et Restauration - Yvon Bourges;Ille-et-Vilaine;Bretagne;Rennes;Dinard;BTS - Services - Management en hôtellerie restauration;84;348;222;67;99.0
Lycée Beaumont;Ille-et-Vilaine;Bretagne;Rennes;Redon;BTS - Services - Support à l'action managériale;24;277;128;19;72.0
Lycée Jean Mace;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Support à l'action managériale;35;628;188;32;58.0
IUT Aix-Marseille - Site de Marseille Luminy;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  9e  Arrondissement;Formation d'ingénieur Bac + 5 - bac STL;2;23;4;0;35.0
Lycée Bréquigny;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Comptabilité et gestion;30;932;177;29;35.0
Lycée Francois Truffaut;Oise;Hauts-de-France;Amiens;Beauvais;DTS Imagerie médicale et radiologie thérapeutique;19;348;76;19;38.0
AIS - ECOLE SUPERIEURE DE L'AUDIOVISUEL - ATELIERS DE L'IMAGE ET DU SON;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  8e  Arrondissement;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;12;73;28;11;51.0
Lycée Joliot-Curie;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Production - Conception et Réalisation de Systèmes Automatiques;30;296;165;28;83.0
Lycée Joliot-Curie;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);24;215;80;12;62.0
Lycée Pierre Mendes France;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Production - Enveloppe des bâtiments : conception et réalisation;10;244;70;13;48.0
Lycée Maupertuis;Ille-et-Vilaine;Bretagne;Rennes;Saint-Malo;BTS - Production - Electrotechnique;24;158;83;21;86.0
Lycée agricole Theodore Monod;Ille-et-Vilaine;Bretagne;Rennes;Le Rheu;CPGE - TB;24;239;45;25;29.0
Lycée Francois René De Chateaubriand;Ille-et-Vilaine;Bretagne;Rennes;Rennes;CPGE - BCPST;144;2344;945;131;64.0
LPO Camus-Sermenaz;Rhône;Auvergne-Rhône-Alpes;Lyon;Rillieux-la-Pape;FCIL - Agent de sécurité en milieu hospitalier;12;22;2;0;22.0
IEFT;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 9e  Arrondissement;BTS - Services - Tourisme;35;15;0;0;
Lycée Frédéric OZANAM;Ille-et-Vilaine;Bretagne;Rennes;Cesson-Sévigné;BTS - Production - Maintenance des véhicules option voitures particulières;15;191;65;12;55.0
Lycée Frédéric OZANAM;Ille-et-Vilaine;Bretagne;Rennes;Cesson-Sévigné;BTS - Production - Electrotechnique;24;133;104;17;85.0
Lycée / Pôle Sup de La Salle - Groupe Saint Jean;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Négociation et digitalisation de la Relation Client;35;314;86;38;30.0
Lycée / Pôle Sup de La Salle - Groupe Saint Jean;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Comptabilité et gestion;35;137;103;25;96.0
Lycée Jeanne d'Arc;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Support à l'action managériale;50;166;136;52;91.0
Lycée Jeanne d'Arc;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Gestion de la PME;50;216;126;52;73.0
Lycée Jeanne D'Arc;Ille-et-Vilaine;Bretagne;Rennes;Vitré;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;30;107;65;16;74.0
ESIEA Paris;Val-de-Marne;Ile-de-France;Créteil;Ivry-sur-Seine;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;45;2340;1436;33;85.0
ENSIBS Lorient;Morbihan;Bretagne;Rennes;Lorient;Formation d'ingénieur Bac + 5 - Bac général;80;6286;3814;77;69.0
Université de Rennes (EPE);Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Droit - Parcours Franco-allemand (Rennes);25;131;89;22;88.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Italien - confirmé;40;60;57;3;100.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Arts du spectacle - Parcours Théâtre;150;1184;840;150;99.0
Institution St Malo-Providence;Ille-et-Vilaine;Bretagne;Rennes;Saint-Malo;BTS - Services - Commerce International;34;405;118;33;46.0
Lycée Pierre Et Marie Curie;Indre;Centre;Orléans-Tours;Châteauroux;BTS - Services - Gestion de la PME;28;263;100;21;76.0
Lycée Blaise Pascal;Indre;Centre;Orléans-Tours;Châteauroux;BTS - Production - Electrotechnique;15;119;50;5;72.0
Lycée Blaise Pascal;Indre;Centre;Orléans-Tours;Châteauroux;BTS - Services - Comptabilité et gestion;15;187;73;13;52.0
Lycée Grandmont;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Services - Conseil et commercialisation de solutions techniques;36;301;145;28;55.0
Lycée Grandmont;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Services - Professions immobilières;24;835;120;22;23.0
Lycée professionnel Martin Nadaud;Indre-et-Loire;Centre;Orléans-Tours;Saint-Pierre-des-Corps;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;17;83;63;10;100.0
Campus Sainte Marguerite;Indre-et-Loire;Centre;Orléans-Tours;Chambray-lès-Tours;BTS - Services - Management Commercial Opérationnel;38;331;173;23;58.0
Campus Sainte Marguerite;Indre-et-Loire;Centre;Orléans-Tours;Chambray-lès-Tours;BTS - Services - Comptabilité et gestion;38;180;113;16;71.0
I.U.T de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;BUT - Génie biologique parcours sciences de l'environnement et écotechnologies;23;642;129;28;38.0
Lycée agricole de TOURS FONDETTES;Indre-et-Loire;Centre;Orléans-Tours;Fondettes;BTS - Agricole - productions animales;32;295;155;28;84.0
Lycée agricole de TOURS FONDETTES;Indre-et-Loire;Centre;Orléans-Tours;Fondettes;BTS - Agricole - Gestion et maitrise de l'eau;32;177;100;8;90.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Histoire;320;1452;1442;233;100.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Portail Economie;145;1700;1121;126;66.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Sciences du langage;135;669;635;121;100.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Portail Sciences de la vie;280;2832;1992;272;94.0
Université de Tours;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Portail Mathématiques;80;1359;866;79;94.0
Lycée Jean Monnet;Indre-et-Loire;Centre;Orléans-Tours;Joué-lès-Tours;BTS - Services - Banque;24;621;129;21;32.0
Lycée Jacques De Vaucanson;Indre-et-Loire;Centre;Orléans-Tours;Tours;BTS - Production - Conception et industrialisation en microtechniques;24;128;59;21;68.0
Lycée ISER-BORDIER;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Commerce International;32;405;179;34;47.0
Lycée ISER-BORDIER;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Economie sociale familiale;32;209;138;16;94.0
Lycée Champollion;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;CPGE - MPSI;144;3890;949;144;31.0
Lycée Champollion;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;CPGE - PCSI;144;3105;905;142;33.0
Lycée Les Eaux Claires;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;Diplôme de Comptabilité et de Gestion;41;1226;283;33;44.0
Lycée VAUCANSON;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Production - Conception et Réalisation de Systèmes Automatiques;28;263;126;15;83.0
Lycée Louise Michel;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Gestion de la PME;32;757;188;30;34.0
Lycée des Métiers - Lesdiguieres;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Management en hôtellerie restauration;58;359;118;49;72.0
Lycée des Métiers - Lesdiguieres;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;Mise à niveau - Hôtellerie restauration;36;403;115;32;55.0
Lycée Ella Fitzgerald St Romain en Gal;Isère;Auvergne-Rhône-Alpes;Grenoble;Vienne;BTS - Services - Comptabilité et gestion;34;681;164;29;64.0
Lycée Galilee;Isère;Auvergne-Rhône-Alpes;Grenoble;Vienne;BTS - Production - Electrotechnique;24;197;72;21;60.0
Lycée Portes De L'Oisans;Isère;Auvergne-Rhône-Alpes;Grenoble;Vizille;BTS - Production - Contrôle industriel et régulation automatique;24;234;98;17;72.0
Ecole des Pupilles de l'Air - lycée de la défense;Isère;Auvergne-Rhône-Alpes;Grenoble;Montbonnot-Saint-Martin;CPGE - PCSI;32;1077;140;29;14.0
IUT 1 GRENOBLE;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BUT - Génie électrique et informatique industrielle;140;1144;767;111;81.0
IUT 1 GRENOBLE;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BUT - Métiers du multimédia et de l'internet;109;2058;429;111;30.0
IUT 1 GRENOBLE - ENEPS;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BUT - Génie civil - Construction durable;20;93;38;19;52.0
Lycée Andre Argouges;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Production - Photonique : technologies et sciences de la lumière;24;168;96;15;86.0
Lycée Andre Argouges;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Opticien-Lunetier;30;687;207;24;44.0
Lycée Andre Argouges;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;38;386;187;35;62.0
La Prépa des INP - Groupe INP - Nancy;Meurthe-et-Moselle;Grand-Est;Nancy-Metz;Vandoeuvre-lès-Nancy;Formation d'ingénieur Bac + 5 - Bac général;80;2457;1171;82;55.0
I.U.T. 2 de Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BUT - Carrières sociales Parcours animation sociale et socioculturelle;28;635;128;27;32.0
I.U.T. 2 de Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BUT - Information communication Parcours communication des organisations;56;1473;160;56;13.0
I.U.T. 2 de Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BUT - Carrières sociales Parcours éducation spécialisée;28;869;87;28;12.0
Université Grenoble Alpes;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;Licence - Langues étrangères appliquées - Parcours Anglais-Arabe;15;108;61;16;71.0
Université Grenoble Alpes;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Russe;30;30;24;0;100.0
Université Grenoble Alpes;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;Licence - Langues étrangères appliquées - Parcours Anglais-Espagnol;160;923;793;131;99.0
Lycée agricole SEYSSUEL AGROTEC;Isère;Auvergne-Rhône-Alpes;Grenoble;Vienne;BTS - Agricole - Gestion et protection de la nature;36;654;168;38;47.0
Lycée PHILIPPINE DUCHESNE ITEC BOISFLEURY;Isère;Auvergne-Rhône-Alpes;Grenoble;Corenc;BTS - Services - Gestion de la PME;24;190;126;19;80.0
Lycée La Pléiade;Isère;Auvergne-Rhône-Alpes;Grenoble;Pont-de-Chéruy;BTS - Services - Conseil et commercialisation de solutions techniques;18;166;81;14;64.0
Lycée du Gresivaudan (LGM);Isère;Auvergne-Rhône-Alpes;Grenoble;Meylan;BTS - Services - Management Commercial Opérationnel;34;576;212;25;43.0
Lycée Philibert Delorme;Isère;Auvergne-Rhône-Alpes;Grenoble;L'Isle-d'Abeau;BTS - Production - Bioqualité;15;144;85;15;89.0
